row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h,kernel_size_w,kernel_shape,num_kernel,pool_size_h,pool_size_w,fcl_size,dropout,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
18091,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,1,12,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,379,0.923640251159668,0.8690006732940674,0.8930797815322876,0.957562255859375,10.061410665512085,val_recall
16203,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,3,12,2,1,3,wide rec,16,3,3,16,0.5,adam,0.001,100,150,3,0.9228654503822327,0.8683218002319336,0.8922041416168213,0.965544593334198,7.7271726608276365,val_recall
13925,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,155,75,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,479,0.905552327632904,0.7795572757720948,0.9195451855659484,0.9460638642311097,56.42964534759521,val_precision
14700,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,120,75,2,3,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,606,0.9027797460556031,0.788352108001709,0.9065837383270263,0.9375764012336731,60.81266846656799,val_precision
15510,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,120,75,2,3,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,768,0.9027797460556031,0.788352108001709,0.9065837383270263,0.9375764012336731,59.491167879104616,val_precision
12281,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,131,75,2,1,5,wide rec,16,3,4,16,0.5,adam,0.001,100,150,131,0.9185738682746887,0.8387017011642456,0.903743052482605,0.9574802398681641,47.621791458129884,val_precision
13026,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,66,60,2,3,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,228,0.9140341639518738,0.826058542728424,0.9007247447967529,0.956048059463501,55.61071343421936,val_precision
10690,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,160,75,2,3,3,square,16,5,5,16,0.5,adam,0.001,100,150,646,0.8990233302116394,0.7480773210525513,0.9378044009208679,0.9215150594711303,54.998416614532474,val_precision
9860,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,140,75,2,3,1,long rec,16,5,4,16,0.5,adam,0.001,100,150,464,0.9147966146469116,0.7908615827560425,0.9342225193977356,0.9416474938392639,49.8004282951355,val_precision
8242,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,142,75,2,3,3,square,16,5,4,16,0.5,adam,0.001,100,150,142,0.9148929715156555,0.8037814259529114,0.9301235795021057,0.9490301132202148,48.87458972930908,val_precision
11365,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,25,45,2,1,1,square,16,4,4,16,0.5,adam,0.001,100,150,673,0.919889259338379,0.8142364144325256,0.9195564270019532,0.9520999670028687,27.423560762405394,val_precision
9008,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,98,60,2,3,1,long rec,16,4,5,16,0.5,adam,0.001,100,150,260,0.8942930579185486,0.7485655546188354,0.9164304733276367,0.937085747718811,43.27574000358582,val_precision
4118,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,68,60,2,3,1,long rec,16,5,3,16,0.5,adam,0.001,100,150,68,0.8780145645141602,0.7156497716903687,0.8857487559318542,0.9162512063980103,63.954058504104616,val_precision
6586,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,106,60,2,3,3,square,16,5,5,16,0.5,adam,0.001,100,150,592,0.8719472289085388,0.7046038985252381,0.8809611439704895,0.9068731904029846,78.71548657417297,val_precision
7396,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,106,60,2,3,3,square,16,5,5,16,0.5,adam,0.001,100,150,754,0.8719472289085388,0.7046038985252381,0.8809611439704895,0.9068731904029846,78.95591807365417,val_precision
5825,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,479,0.9020692467689514,0.8083011388778687,0.8783416509628296,0.9545047283172607,129.92780876159668,val_precision
5018,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,158,75,2,3,1,long rec,16,5,5,16,0.5,adam,0.001,100,150,320,0.8681454658508301,0.6966272473335267,0.8722987651824952,0.9135215520858765,69.72104988098144,val_precision
